cve_id,cvss_version,source_key,removed_event_id,added_event_id,removed_at,added_at,gap_days,old_vector,new_vector,changed_components,year
CVE-2023-22644,3.1,meissner@suse.de,4D937480-3A8D-47FC-8F1E-C25CB6F2FA6E#4,D209F234-B829-4977-A149-3C44B2421CA3#7,2024-10-15T11:15:10.860000+00:00,2024-10-15T12:15:02.520000+00:00,0.042,AV:L/AC:L/PR:L/UI:N/S:C/C:L/I:N/A:N,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"A,AV,C,I,S",2024
CVE-2023-37027,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,D75767CC-654B-4120-A94F-5E891AE54964#0,72378C5B-385D-4856-9FB3-0143E072B5FD#0,2025-02-18T21:15:17.510000+00:00,2025-03-18T20:15:20.130000+00:00,27.958,AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,AV:A/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,PR,2025
CVE-2023-52752,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,8C7A25C2-4940-4332-ADD8-EB0E200E6F84#0,D7B37838-8192-4A09-9BC9-B793C3A8AB6F#0,2025-01-16T21:15:14.540000+00:00,2025-05-07T20:15:23.520000+00:00,110.958,AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,PR,2025
CVE-2023-52814,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,B8AFC8F6-C2C9-4365-85CD-5762EC343754#0,435C122A-E05D-469D-8B78-08362C0AC994#0,2025-01-14T17:15:12.157000+00:00,2025-09-16T14:15:46.753000+00:00,244.875,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,"AV,C,PR",2025
CVE-2024-12569,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,CC4137A7-2BE2-4ED9-AC27-8B4A6BCE2541#0,583C969E-219A-4D80-BE95-57A9D9CCEDE1#0,2025-01-16T21:15:14.697000+00:00,2025-01-23T22:15:12.553000+00:00,7.042,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,"A,AC,AV,I,PR,S",2025
CVE-2024-30505,3.1,audit@patchstack.com,46BCA426-2CCF-4C43-B83A-3A207DA136DC#1,D4E16E52-B772-4245-AEE6-64ABAF24116E#0,2026-04-01T16:16:56.823000+00:00,2026-04-23T15:18:12.283000+00:00,21.959,AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:L,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,PR,2026
CVE-2024-31391,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,5AFC47AF-6E28-4E7E-A1BB-C26D38C97096#0,790863B7-BEB4-4E25-B803-98882900C973#0,2025-02-21T17:15:11.887000+00:00,2025-03-13T20:15:19.633000+00:00,20.125,AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,"A,C",2025
CVE-2024-32778,3.1,audit@patchstack.com,8CBBF79F-C0E1-4438-9D07-9C31A0A00EC6#1,8EC02653-6187-4FB7-8183-05BE39E34905#0,2026-04-01T16:17:06.313000+00:00,2026-04-23T15:18:21.240000+00:00,21.959,AV:N/AC:L/PR:L/UI:N/S:C/C:N/I:L/A:H,AV:N/AC:L/PR:L/UI:N/S:C/C:N/I:N/A:H,I,2026
CVE-2024-32824,3.1,audit@patchstack.com,F01569AA-684D-4F42-8FC3-C405A68BD552#1,5296CC75-F32B-466C-9970-9BB237870A3C#0,2026-04-01T16:17:07.420000+00:00,2026-04-23T15:18:22.297000+00:00,21.959,AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:L,AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:L,"PR,UI",2026
CVE-2024-33601,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,3FA2D19C-1C90-4FFB-9842-4216C71F1D76#0,2C2A0C0B-F206-4B58-830A-1C4B1749444A#0,2025-02-21T17:15:12.100000+00:00,2025-03-18T14:15:38.867000+00:00,24.875,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,"A,C,I",2025
