replacement_id,cve_id,event_name,change_id,source_identifier,created,year,detail_type,cvss_version,old_vector,new_vector,old_source,new_source,same_source,changed_components,tier,exclusion_reasons,removed_count,added_count,source_file,removed_detail_index,added_detail_index
CVE-2023-5764|362F271D-EE0E-4840-9C7A-991E2C5C8798|CVSS V3.1,CVE-2023-5764,CVE Modified,362F271D-EE0E-4840-9C7A-991E2C5C8798,secalert@redhat.com,2024-01-01T21:15:24.487000+00:00,2024,CVSS V3.1,3.1,AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:N,AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,"Red Hat, Inc.","Red Hat, Inc.",True,UI,STRICT,,1,1,data\raw\nvd\history\20240101_20240429_0000000.json,0,1
CVE-2023-6277|6057D696-33BD-4B02-85B7-F2DA0EFAD390|CVSS V3.1,CVE-2023-6277,CVE Modified,6057D696-33BD-4B02-85B7-F2DA0EFAD390,secalert@redhat.com,2024-01-02T09:15:07.500000+00:00,2024,CVSS V3.1,3.1,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,"Red Hat, Inc.","Red Hat, Inc.",True,UI,STRICT,,1,1,data\raw\nvd\history\20240101_20240429_0000000.json,0,1
CVE-2023-40338|CB989AD7-890D-42BA-9D36-07781ACD5199|CVSS V3.1,CVE-2023-40338,Reanalysis,CB989AD7-890D-42BA-9D36-07781ACD5199,nvd@nist.gov,2024-01-02T19:53:57.600000+00:00,2024,CVSS V3.1,3.1,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,NIST,NIST,True,"C,PR",STRICT,,1,1,data\raw\nvd\history\20240101_20240429_0000000.json,0,1
CVE-2023-3961|FA6B601F-E1E9-4BE4-AAF1-A78924BC5B24|CVSS V3.1,CVE-2023-3961,CVE Modified,FA6B601F-E1E9-4BE4-AAF1-A78924BC5B24,secalert@redhat.com,2024-01-02T21:15:08.913000+00:00,2024,CVSS V3.1,3.1,AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:L,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,"Red Hat, Inc.","Red Hat, Inc.",True,"A,AC",STRICT,,1,1,data\raw\nvd\history\20240101_20240429_0000000.json,0,1
CVE-2023-4320|01468419-4792-41D2-ADA1-0B9E65FE5832|CVSS V3.1,CVE-2023-4320,CVE Modified,01468419-4792-41D2-ADA1-0B9E65FE5832,secalert@redhat.com,2024-01-03T12:15:23.390000+00:00,2024,CVSS V3.1,3.1,AV:N/AC:L/PR:H/UI:N/S:U/C:L/I:H/A:L,AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:H/A:L,"Red Hat, Inc.","Red Hat, Inc.",True,PR,STRICT,,1,1,data\raw\nvd\history\20240101_20240429_0000000.json,0,1
CVE-2023-4692|C9DE27B6-E1D3-445B-9CC3-1D3804A29C4A|CVSS V3.1,CVE-2023-4692,CVE Modified,C9DE27B6-E1D3-445B-9CC3-1D3804A29C4A,secalert@redhat.com,2024-01-03T12:15:23.617000+00:00,2024,CVSS V3.1,3.1,AV:L/AC:H/PR:H/UI:N/S:C/C:N/I:H/A:N,AV:L/AC:H/PR:H/UI:N/S:C/C:H/I:H/A:H,"Red Hat, Inc.","Red Hat, Inc.",True,"A,C",STRICT,,1,1,data\raw\nvd\history\20240101_20240429_0000000.json,0,1
CVE-2023-31417|F61717D2-7309-41FB-BCFE-F8FCC9A35907|CVSS V3.1,CVE-2023-31417,Modified Analysis,F61717D2-7309-41FB-BCFE-F8FCC9A35907,nvd@nist.gov,2024-01-03T19:02:34.447000+00:00,2024,CVSS V3.1,3.1,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,NIST,NIST,True,"AV,PR",STRICT,,1,1,data\raw\nvd\history\20240101_20240429_0000000.json,0,1
CVE-2023-5215|1CDEE50F-3377-42FB-ADEA-5B634004A973|CVSS V3.1,CVE-2023-5215,Modified Analysis,1CDEE50F-3377-42FB-ADEA-5B634004A973,nvd@nist.gov,2024-01-03T19:03:11.583000+00:00,2024,CVSS V3.1,3.1,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,NIST,NIST,True,"AV,C,I",STRICT,,1,1,data\raw\nvd\history\20240101_20240429_0000000.json,0,1
CVE-2023-51385|C2D4FAF5-BBAA-4A84-AD6F-927493C1195E|CVSS V3.1,CVE-2023-51385,Modified Analysis,C2D4FAF5-BBAA-4A84-AD6F-927493C1195E,nvd@nist.gov,2024-01-03T19:40:07.667000+00:00,2024,CVSS V3.1,3.1,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,NIST,NIST,True,"A,C,I",STRICT,,1,1,data\raw\nvd\history\20240101_20240429_0000000.json,0,1
CVE-2023-40058|3CFE46C0-110D-407F-803B-11D810EC3F1D|CVSS V3.1,CVE-2023-40058,CVE Modified,3CFE46C0-110D-407F-803B-11D810EC3F1D,psirt@solarwinds.com,2024-01-04T14:15:39.237000+00:00,2024,CVSS V3.1,3.1,AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:L,AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SolarWinds,SolarWinds,True,"A,I",STRICT,,1,1,data\raw\nvd\history\20240101_20240429_0000000.json,0,1
CVE-2023-45871|C195D8D7-3CFF-4F35-BB9C-DADC8A606AB9|CVSS V3.1,CVE-2023-45871,Reanalysis,C195D8D7-3CFF-4F35-BB9C-DADC8A606AB9,nvd@nist.gov,2024-01-04T18:04:09.787000+00:00,2024,CVSS V3.1,3.1,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:A/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,NIST,NIST,True,"AC,AV",STRICT,,1,1,data\raw\nvd\history\20240101_20240429_0000000.json,0,1
CVE-2023-39323|637AAE36-7FE4-4A48-99DE-B513EB17FC74|CVSS V3.1,CVE-2023-39323,Modified Analysis,637AAE36-7FE4-4A48-99DE-B513EB17FC74,nvd@nist.gov,2024-01-04T18:04:15.473000+00:00,2024,CVSS V3.1,3.1,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,NIST,NIST,True,AC,STRICT,,1,1,data\raw\nvd\history\20240101_20240429_0000000.json,0,1
CVE-2023-40791|7BD8E0F7-57BF-4433-BA17-C0193F3FFD15|CVSS V3.1,CVE-2023-40791,Reanalysis,7BD8E0F7-57BF-4433-BA17-C0193F3FFD15,nvd@nist.gov,2024-01-04T19:08:57.337000+00:00,2024,CVSS V3.1,3.1,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:H,NIST,NIST,True,"AC,AV,PR",STRICT,,1,1,data\raw\nvd\history\20240101_20240429_0000000.json,0,1
