file,cve_id,event_name,change_id,source,created,action,detail_type,old_shape,new_shape,same_after_normalization,old_value,new_value
data\raw\nvd\history\20240101_20240429_0000000.json,CVE-2023-39912,CVE Modified,7F3019A8-9A98-4296-8A43-7D77271FA10B,cve@mitre.org,2024-01-01T06:15:08.007,Changed,Description,string,string,False,Zoho ManageEngine ADManager Plus through 7202 allows admin users to download any file from the server machine via directory traversal.,Zoho ManageEngine ADManager Plus before 7203 allows Help Desk Technician users to read arbitrary files on the machine where this product is installed.
data\raw\nvd\history\20240101_20240429_0000000.json,CVE-2023-51766,CVE Modified,EAB69DF0-E8E8-4E34-A4C8-CECF17FBBB68,cve@mitre.org,2024-01-01T17:15:08.400,Changed,Description,string,string,False,"Exim through 4.97 allows SMTP smuggling in certain configurations. Remote attackers can use a published exploitation technique to inject e-mail messages with a spoofed MAIL FROM address, allowing bypass of an SPF protection mechanism. This occurs because Exim supports <LF>.<CR><LF> but some other popular e-mail servers do not.","Exim before 4.97.1 allows SMTP smuggling in certain PIPELINING/CHUNKING configurations. Remote attackers can use a published exploitation technique to inject e-mail messages with a spoofed MAIL FROM address, allowing bypass of an SPF protection mechanism. This occurs because Exim supports <LF>.<CR><LF> but some other popular e-mail servers do not."
data\raw\nvd\history\20240101_20240429_0000000.json,CVE-2023-4380,CVE Modified,5DAB48F5-FEBB-432A-A3E7-EC7D46DCE745,secalert@redhat.com,2024-01-01T23:15:08.460,Changed,Description,string,string,False,"A logic flaw exists in Ansible. Whenever a private project is created with incorrect credentials, they are logged in plaintext. This flaw allows an attacker to retrieve the credentials from the log, resulting in the loss of confidentiality, integrity, and availability.","A logic flaw exists in Ansible Automation platform. Whenever a private project is created with incorrect credentials, they are logged in plaintext. This flaw allows an attacker to retrieve the credentials from the log, resulting in the loss of confidentiality, integrity, and availability."
data\raw\nvd\history\20240101_20240429_0000000.json,CVE-2023-40303,CVE Modified,78FED5DD-C340-4755-828D-BE89F5709065,cve@mitre.org,2024-01-02T01:15:07.857,Changed,Description,string,string,False,"GNU inetutils through 2.4 may allow privilege escalation because of unchecked return values of set*id() family functions in ftpd, rcp, rlogin, rsh, rshd, and uucpd. This is, for example, relevant if the setuid system call fails when a process is trying to drop privileges before letting an ordinary user control the activities of the process.","GNU inetutils before 2.5 may allow privilege escalation because of unchecked return values of set*id() family functions in ftpd, rcp, rlogin, rsh, rshd, and uucpd. This is, for example, relevant if the setuid system call fails when a process is trying to drop privileges before letting an ordinary user control the activities of the process."
data\raw\nvd\history\20240101_20240429_0000000.json,CVE-2023-6051,CVE Modified,6115A67D-DA3A-40FA-95B7-750A0551231F,cve@gitlab.com,2024-01-02T09:15:07.310,Changed,Description,string,string,False,"An issue has been discovered in GitLab CE/EE affecting all versions before 16.4.4, all versions starting from 15.5 before 16.5.4, all versions starting from 16.6 before 16.6.2. File integrity may be compromised when source code or installation packages are pulled from a specific tag.","An issue has been discovered in GitLab CE/EE affecting all versions before 16.4.4, all versions starting from 16.5 before 16.5.4, all versions starting from 16.6 before 16.6.2. File integrity may be compromised when source code or installation packages are pulled from a specific tag."
data\raw\nvd\history\20240101_20240429_0000000.json,CVE-2023-6895,Initial Analysis,3D35C5F5-E36F-4D8A-ADDB-FA5C5D40ADEE,nvd@nist.gov,2024-01-02T13:12:21.843,Changed,Reference Type,string,string,False,https://github.com/willchen0011/cve/blob/main/rce.md No Types Assigned,"https://github.com/willchen0011/cve/blob/main/rce.md Exploit, Third Party Advisory"
data\raw\nvd\history\20240101_20240429_0000000.json,CVE-2023-6895,Initial Analysis,3D35C5F5-E36F-4D8A-ADDB-FA5C5D40ADEE,nvd@nist.gov,2024-01-02T13:12:21.843,Changed,Reference Type,string,string,False,https://vuldb.com/?ctiid.248254 No Types Assigned,"https://vuldb.com/?ctiid.248254 Permissions Required, Third Party Advisory"
data\raw\nvd\history\20240101_20240429_0000000.json,CVE-2023-6895,Initial Analysis,3D35C5F5-E36F-4D8A-ADDB-FA5C5D40ADEE,nvd@nist.gov,2024-01-02T13:12:21.843,Changed,Reference Type,string,string,False,https://vuldb.com/?id.248254 No Types Assigned,https://vuldb.com/?id.248254 Third Party Advisory
data\raw\nvd\history\20240101_20240429_0000000.json,CVE-2023-6314,Initial Analysis,9549140B-251C-424C-88DC-BDB6E038B813,nvd@nist.gov,2024-01-02T13:31:21.227,Changed,Reference Type,string,string,False,https://industry.panasonic.eu/products/automation-devices-solutions/programmable-logic-controllers-plc/plc-software/programming-software-control-fpwin-pro No Types Assigned,https://industry.panasonic.eu/products/automation-devices-solutions/programmable-logic-controllers-plc/plc-software/programming-software-control-fpwin-pro Product
data\raw\nvd\history\20240101_20240429_0000000.json,CVE-2023-6315,Initial Analysis,C862F90C-40E8-4925-BFA4-14D1EE3EDCDA,nvd@nist.gov,2024-01-02T13:43:51.827,Changed,Reference Type,string,string,False,https://industry.panasonic.eu/products/automation-devices-solutions/programmable-logic-controllers-plc/plc-software/programming-software-control-fpwin-pro No Types Assigned,https://industry.panasonic.eu/products/automation-devices-solutions/programmable-logic-controllers-plc/plc-software/programming-software-control-fpwin-pro Product
